indicator,code,type,meaning,calculation logic,meaning_behavior,sources
Coincidence Factor,coincidence_factor,Temporal ,A measure of the likelihood that electric loads are used simultaneously by consumers.,1. Aggregate the simultaneous load profiles of multiple users (or appliances) and find the single highest peak load of this combined group.<br>2. Sum the individual maximum capacities (or nominal power ratings) of every connected user/appliance.<br>3. Divide the aggregated group peak by the sum of individual capacities.,Reflects synchronized social routines; high coincidence means occupants activate heavy appliances at the exact same time.,Herraiz-Cañete et al. 2022; Hartvigsson & Ahlgren 2018.
"Relative Mean Power (Breakfast, Day, Dinner, Night)",relative_mean,Temporal ,Average consumption in a specific time block relative to total average consumption.,"1. Calculate the overall average consumption (μ^​) for the entire dataset.<br>2. Isolate the data points that fall within a specific daily time block (e.g., 6:00 AM - 10:00 AM for breakfast).<br>3. Calculate the average consumption (μi​) strictly for that time block.<br>4. Divide the time block's average by the overall average.","Identifies specific temporal habits, easily classifying user routines into specific active periods (e.g., ""Night Consumers"").",Kaur et al. 2022.
Modal Daily Peak Load Time,time_peak,Temporal ,The half-hour interval that most frequently produces the daily maximum load.,"1. Look at the first day in the dataset and identify the exact time interval (e.g., 18:30) when the highest load occurred. Record this time.<br>2. Repeat this for every day in the dataset, creating a list of peak times.<br>3. Find the statistical mode of this list (the specific time of day that appears most frequently).","Directly indicates habitual peak routines, such as cooking dinner after work or waking up.",Li et al. 2018.
Seasonal / Weekend vs Weekday Score,wd_score,Temporal ,"Difference in consumption between seasons or weekends/weekdays, proportional to average demand.",1. Calculate the average consumption for a specific time period on weekends.<br>2. Calculate the average consumption for the same time period on weekdays.<br>3. Subtract the weekday average from the weekend average and take the absolute value.<br>4. Divide this difference by the overall average consumption to normalize it. Repeat and sum this for all time periods in a day.,Reflects the impact of climate changes or leisure/stay-at-home routines versus typical working day habits.,Kaur et al. 2022.
Critical Discharge Window,cdw,Temporal ,Habitual Failure Time: pinpoints the specific time of day when cultural practices (like late-night lighting or charging) typically exhaust the battery resource.,1. Identify the final timestamp recorded before each blackout.  2. Extract the hour of the day from these timestamps.  3. Determine the most frequent hour (statistical mode).,"Identifies the specific time routines that deplete the battery (e.g., late-night light use).",
Behavioral Blackout Rate,bbr,Temporal ,"Social Demand Driver: Identifies system failures caused by intensive user practices (e.g., energy sharing) despite adequate solar resources.","1. Calculate the average VPV​ during peak sunlight (10:00–15:00) before a blackout.  2. Classify as ""Behavioral"" if VPV​ is above the threshold (sufficient sun).  3. Divide count by total monitored days.",Failures caused by high usage practices despite sufficient solar resource.,
Mean Relative Standard Deviation (MRSD),mrsd,Variability,Averages the relative standard deviation across different time periods.,"1. Divide the day into discrete time periods (i).<br>2. For each period, calculate the standard deviation (σ) and the mean (μ) of the load.<br>3. Divide the standard deviation by the mean to get the relative standard deviation for that period.<br>4. Average these relative standard deviations across all the periods.","Measures the day-to-day variability and irregularity of a consumer (e.g., shift workers).",Kaur et al. 2022.
Entropy of DECP,entropy_decp,Variability,Measures the diversity/complexity of Daily Electricity Consumption Patterns (DECP) within a dataset.,"1. Categorize all of a single user's daily profiles over a year into discrete pattern groups (e.g., Pattern A, Pattern B) using clustering.<br>2. Calculate the probability (pc​) of each pattern occurring (e.g., Pattern A occurs 60% of the time).<br>3. For each pattern, multiply its probability by the logarithm of its probability.<br>4. Sum these values and multiply by -1 to get the entropy score.",Indicates how regular or chaotic a household's daily routines are. High entropy means they utilize many different patterns.,Zhang et al. 2022.
Autocorrelation / Serial Correlation Coefficient ,r ,Variability,Measures the correlation of the power consumption signal with a delayed copy of itself.,"1. Take the original time-series dataset.<br>2. Create a duplicate dataset and shift it forward by a specific time lag (τ), such as 24 hours.<br>3. Calculate the covariance between the original dataset and the shifted dataset.<br>4. Divide this by the product of the standard deviations of both datasets.",Identifies cyclical behaviors or repeating daily routines across time lags.,Li et al. 2021; Ihsane et al. 2018.
Eta Correlation Ratio,eta,Variability,Measures the relationship between dispersion within time-based demand and across total demand.,"1. Group all data points by a specific variable, such as the hour of the day.<br>2. Calculate the mean consumption for each group (e.g., the mean for all 9:00 AMs).<br>3. Calculate the variance of these group means.<br>4. Calculate the variance of every single data point in the entire dataset.<br>5. Divide the variance of the group means by the total variance.",Determines exactly how much of the variation in electrical consumption depends specifically on the time of day.,Ihsane et al. 2018.
InterQuartile Range (IQR),iqr,Variability,Measures the spread of the middle 50% of consumption data.,1. Take all power demand values and sort them in ascending order from lowest to highest.<br>2. Find the value at the 25th percentile (Q1) and the 75th percentile (Q3).<br>3. Subtract Q1 from Q3. This resulting band represents the middle 50% of the normal consumption.,"Defines ""normal"" daily operations vs. rare, highly intensive ""unusual"" demands (outliers).",Köhler et al. 2022; Zhang et al. 2022; Li et al. 2018; Ihsane et al. 2018.
Fractal Dimension (FD) ,fd,Variability,Geometric complexity indicating roughness or volatility of the load trajectory.,"1. Select a sliding time window (e.g., 24 hours) and a step size.<br>2. Using an estimator (like a madogram), measure the absolute differences between data points at various time lags within the window.<br>3. Plot the log of these differences against the log of the time lags to find the scaling slope.<br>4. Derive the non-linear fractal dimension (a value between 1 and 2) from this slope to determine geometric roughness.",Captures structural complexity of behaviour. Reflects the natural stochastic spikiness of human interaction with appliances.,Köhler et al. 2022.
